,text
3159,"“Marry, good souls, let us proceed gently, not with ill blood and uncharitable words.  This is matter for the law’s consideration, not private and unofficial handling.  Loose thy hold from the boy, goodwife.”"
3160,"The blacksmith averaged the stalwart soldier with a glance, then went muttering away, rubbing his arm; the woman released the boy’s wrist reluctantly; the crowd eyed the stranger unlovingly, but prudently closed their mouths.  The King sprang to his deliverer’s side, with flushed cheeks and sparkling eyes, exclaiming—"
3161,"“Thou hast lagged sorely, but thou comest in good season, now, Sir Miles; carve me this rabble to rags!”"
3162,"Hendon forced back a smile, and bent down and whispered in the King’s ear—"
3163,"“Softly, softly, my prince, wag thy tongue warily—nay, suffer it not to wag at all.  Trust in me—all shall go well in the end.” Then he added to himself:  “Sir Miles!  Bless me, I had totally forgot I was a knight! Lord, how marvellous a thing it is, the grip his memory doth take upon his quaint and crazy fancies! . . . An empty and foolish title is mine, and yet it is something to have deserved it; for I think it is more honour to be held worthy to be a spectre-knight in his Kingdom of Dreams and Shadows, than to be held base enough to be an earl in some of the real kingdoms of this world.”"
3164,"The crowd fell apart to admit a constable, who approached and was about to lay his hand upon the King’s shoulder, when Hendon said—"
3165,"“Gently, good friend, withhold your hand—he shall go peaceably; I am responsible for that.  Lead on, we will follow.”"
3166,"The officer led, with the woman and her bundle; Miles and the King followed after, with the crowd at their heels.  The King was inclined to rebel; but Hendon said to him in a low voice—"
3167,"“Reflect, Sire—your laws are the wholesome breath of your own royalty; shall their source resist them, yet require the branches to respect them? Apparently one of these laws has been broken; when the King is on his throne again, can it ever grieve him to remember that when he was seemingly a private person he loyally sank the king in the citizen and submitted to its authority?”"
3168,"“Thou art right; say no more; thou shalt see that whatsoever the King of England requires a subject to suffer, under the law, he will himself suffer while he holdeth the station of a subject.”"
3169,"When the woman was called upon to testify before the justice of the peace, she swore that the small prisoner at the bar was the person who had committed the theft; there was none able to show the contrary, so the King stood convicted.  The bundle was now unrolled, and when the contents proved to be a plump little dressed pig, the judge looked troubled, whilst Hendon turned pale, and his body was thrilled with an electric shiver of dismay; but the King remained unmoved, protected by his ignorance.  The judge meditated, during an ominous pause, then turned to the woman, with the question—"
3170,“What dost thou hold this property to be worth?”
3171,The woman courtesied and replied—
3172,"“Three shillings and eightpence, your worship—I could not abate a penny and set forth the value honestly.”"
3173,"The justice glanced around uncomfortably upon the crowd, then nodded to the constable, and said—"
3174,“Clear the court and close the doors.”
3175,"It was done.  None remained but the two officials, the accused, the accuser, and Miles Hendon.  This latter was rigid and colourless, and on his forehead big drops of cold sweat gathered, broke and blended together, and trickled down his face.  The judge turned to the woman again, and said, in a compassionate voice—"
3176,"“’Tis a poor ignorant lad, and mayhap was driven hard by hunger, for these be grievous times for the unfortunate; mark you, he hath not an evil face—but when hunger driveth—Good woman! dost know that when one steals a thing above the value of thirteenpence ha’penny the law saith he shall hang for it?”"
3177,"The little King started, wide-eyed with consternation, but controlled himself and held his peace; but not so the woman.  She sprang to her feet, shaking with fright, and cried out—"
3178,"“Oh, good lack, what have I done!  God-a-mercy, I would not hang the poor thing for the whole world!  Ah, save me from this, your worship—what shall I do, what can I do?”"
3179,"The justice maintained his judicial composure, and simply said—"
3180,"“Doubtless it is allowable to revise the value, since it is not yet writ upon the record.”"
3181,"“Then in God’s name call the pig eightpence, and heaven bless the day that freed my conscience of this awesome thing!”"
3182,"Miles Hendon forgot all decorum in his delight; and surprised the King and wounded his dignity, by throwing his arms around him and hugging him. The woman made her grateful adieux and started away with her pig; and when the constable opened the door for her, he followed her out into the narrow hall.  The justice proceeded to write in his record book.  Hendon, always alert, thought he would like to know why the officer followed the woman out; so he slipped softly into the dusky hall and listened.  He heard a conversation to this effect—"
3183,"“It is a fat pig, and promises good eating; I will buy it of thee; here is the eightpence.”"
3184,"“Eightpence, indeed!  Thou’lt do no such thing.  It cost me three shillings and eightpence, good honest coin of the last reign, that old Harry that’s just dead ne’er touched or tampered with.  A fig for thy eightpence!”"
3185,"“Stands the wind in that quarter?  Thou wast under oath, and so swore falsely when thou saidst the value was but eightpence.  Come straightway back with me before his worship, and answer for the crime!—and then the lad will hang.”"
3186,"“There, there, dear heart, say no more, I am content.  Give me the eightpence, and hold thy peace about the matter.”"
3187,"The woman went off crying:  Hendon slipped back into the court room, and the constable presently followed, after hiding his prize in some convenient place.  The justice wrote a while longer, then read the King a wise and kindly lecture, and sentenced him to a short imprisonment in the common jail, to be followed by a public flogging.  The astounded King opened his mouth, and was probably going to order the good judge to be beheaded on the spot; but he caught a warning sign from Hendon, and succeeded in closing his mouth again before he lost anything out of it. Hendon took him by the hand, now, made reverence to the justice, and the two departed in the wake of the constable toward the jail.  The moment the street was reached, the inflamed monarch halted, snatched away his hand, and exclaimed—"
3188,"“Idiot, dost imagine I will enter a common jail alive?”"
3189,"Hendon bent down and said, somewhat sharply—"
3190,"“Will you trust in me?  Peace! and forbear to worsen our chances with dangerous speech.  What God wills, will happen; thou canst not hurry it, thou canst not alter it; therefore wait, and be patient—’twill be time enow to rail or rejoice when what is to happen has happened.” {1}"
3191,"The short winter day was nearly ended.  The streets were deserted, save for a few random stragglers, and these hurried straight along, with the intent look of people who were only anxious to accomplish their errands as quickly as possible, and then snugly house themselves from the rising wind and the gathering twilight. They looked neither to the right nor to the left; they paid no attention to our party, they did not even seem to see them. Edward the Sixth wondered if the spectacle of a king on his way to jail had ever encountered such marvellous indifference before. By-and-by the constable arrived at a deserted market-square, and proceeded to cross it.  When he had reached the middle of it, Hendon laid his hand upon his arm, and said in a low voice—"
3192,"“Bide a moment, good sir, there is none in hearing, and I would say a word to thee.”"
3193,"“My duty forbids it, sir; prithee hinder me not, the night comes on.”"
3194,"“Stay, nevertheless, for the matter concerns thee nearly.  Turn thy back a moment and seem not to see:  let this poor lad escape.”"
3195,"“This to me, sir!  I arrest thee in—”"
3196,"“Nay, be not too hasty.  See thou be careful and commit no foolish error,”—then he shut his voice down to a whisper, and said in the man’s ear—“the pig thou hast purchased for eightpence may cost thee thy neck, man!”"
3197,"The poor constable, taken by surprise, was speechless, at first, then found his tongue and fell to blustering and threatening; but Hendon was tranquil, and waited with patience till his breath was spent; then said—"
3198,"“I have a liking to thee, friend, and would not willingly see thee come to harm.  Observe, I heard it all—every word.  I will prove it to thee.” Then he repeated the conversation which the officer and the woman had had together in the hall, word for word, and ended with—"
3199,"“There—have I set it forth correctly?  Should not I be able to set it forth correctly before the judge, if occasion required?”"
3200,"The man was dumb with fear and distress, for a moment; then he rallied, and said with forced lightness—"
3201,"“’Tis making a mighty matter, indeed, out of a jest; I but plagued the woman for mine amusement.”"
3202,“Kept you the woman’s pig for amusement?”
3203,The man answered sharply—
3204,"“Nought else, good sir—I tell thee ’twas but a jest.”"
3205,"“I do begin to believe thee,” said Hendon, with a perplexing mixture of mockery and half-conviction in his tone; “but tarry thou here a moment whilst I run and ask his worship—for nathless, he being a man experienced in law, in jests, in—”"
3206,"He was moving away, still talking; the constable hesitated, fidgeted, spat out an oath or two, then cried out—"
3207,"“Hold, hold, good sir—prithee wait a little—the judge!  Why, man, he hath no more sympathy with a jest than hath a dead corpse!—come, and we will speak further.  Ods body!  I seem to be in evil case—and all for an innocent and thoughtless pleasantry. I am a man of family; and my wife and little ones—List to reason, good your worship: what wouldst thou of me?”"
3208,"“Only that thou be blind and dumb and paralytic whilst one may count a hundred thousand—counting slowly,” said Hendon, with the expression of a man who asks but a reasonable favour, and that a very little one."
3209,"“It is my destruction!” said the constable despairingly.  ""Ah, be reasonable, good sir; only look at this matter, on all its sides, and see how mere a jest it is—how manifestly and how plainly it is so.  And even if one granted it were not a jest, it is a fault so small that e’en the grimmest penalty it could call forth would be but a rebuke and warning from the judge’s lips.”"
3210,Hendon replied with a solemnity which chilled the air about him—
3211,"“This jest of thine hath a name, in law,—wot you what it is?”"
3212,"“I knew it not!  Peradventure I have been unwise.  I never dreamed it had a name—ah, sweet heaven, I thought it was original.”"
3213,"“Yes, it hath a name.  In the law this crime is called Non compos mentis lex talionis sic transit gloria mundi.”"
3214,"“Ah, my God!”"
3215,“And the penalty is death!”
3216,“God be merciful to me a sinner!”
3217,"“By advantage taken of one in fault, in dire peril, and at thy mercy, thou hast seized goods worth above thirteenpence ha’penny, paying but a trifle for the same; and this, in the eye of the law, is constructive barratry, misprision of treason, malfeasance in office, ad hominem expurgatis in statu quo—and the penalty is death by the halter, without ransom, commutation, or benefit of clergy.”"
3218,"“Bear me up, bear me up, sweet sir, my legs do fail me!  Be thou merciful—spare me this doom, and I will turn my back and see nought that shall happen.”"
3219,“Good! now thou’rt wise and reasonable.  And thou’lt restore the pig?”
3220,"“I will, I will indeed—nor ever touch another, though heaven send it and an archangel fetch it.  Go—I am blind for thy sake—I see nothing.  I will say thou didst break in and wrest the prisoner from my hands by force.  It is but a crazy, ancient door—I will batter it down myself betwixt midnight and the morning.”"
3221,"“Do it, good soul, no harm will come of it; the judge hath a loving charity for this poor lad, and will shed no tears and break no jailer’s bones for his escape.”"
3222,"As soon as Hendon and the King were out of sight of the constable, his Majesty was instructed to hurry to a certain place outside the town, and wait there, whilst Hendon should go to the inn and settle his account. Half an hour later the two friends were blithely jogging eastward on Hendon’s sorry steeds.  The King was warm and comfortable, now, for he had cast his rags and clothed himself in the second-hand suit which Hendon had bought on London Bridge."
3223,"Hendon wished to guard against over-fatiguing the boy; he judged that hard journeys, irregular meals, and illiberal measures of sleep would be bad for his crazed mind; whilst rest, regularity, and moderate exercise would be pretty sure to hasten its cure; he longed to see the stricken intellect made well again and its diseased visions driven out of the tormented little head; therefore he resolved to move by easy stages toward the home whence he had so long been banished, instead of obeying the impulse of his impatience and hurrying along night and day."
3224,"When he and the King had journeyed about ten miles, they reached a considerable village, and halted there for the night, at a good inn.  The former relations were resumed; Hendon stood behind the King’s chair, while he dined, and waited upon him; undressed him when he was ready for bed; then took the floor for his own quarters, and slept athwart the door, rolled up in a blanket."
3225,"The next day, and the day after, they jogged lazily along talking over the adventures they had met since their separation, and mightily enjoying each other’s narratives.  Hendon detailed all his wide wanderings in search of the King, and described how the archangel had led him a fool’s journey all over the forest, and taken him back to the hut, finally, when he found he could not get rid of him.  Then—he said—the old man went into the bedchamber and came staggering back looking broken-hearted, and saying he had expected to find that the boy had returned and laid down in there to rest, but it was not so.  Hendon had waited at the hut all day; hope of the King’s return died out, then, and he departed upon the quest again."
3226,"“And old Sanctum Sanctorum was truly sorry your highness came not back,” said Hendon; “I saw it in his face.”"
3227,"“Marry I will never doubt that!” said the King—and then told his own story; after which, Hendon was sorry he had not destroyed the archangel."
3228,"During the last day of the trip, Hendon’s spirits were soaring. His tongue ran constantly.  He talked about his old father, and his brother Arthur, and told of many things which illustrated their high and generous characters; he went into loving frenzies over his Edith, and was so glad-hearted that he was even able to say some gentle and brotherly things about Hugh.  He dwelt a deal on the coming meeting at Hendon Hall; what a surprise it would be to everybody, and what an outburst of thanksgiving and delight there would be."
3229,"It was a fair region, dotted with cottages and orchards, and the road led through broad pasture lands whose receding expanses, marked with gentle elevations and depressions, suggested the swelling and subsiding undulations of the sea.  In the afternoon the returning prodigal made constant deflections from his course to see if by ascending some hillock he might not pierce the distance and catch a glimpse of his home.  At last he was successful, and cried out excitedly—"
3230,"“There is the village, my Prince, and there is the Hall close by! You may see the towers from here; and that wood there—that is my father’s park. Ah, now thou’lt know what state and grandeur be! A house with seventy rooms—think of that!—and seven and twenty servants!  A brave lodging for such as we, is it not so?  Come, let us speed—my impatience will not brook further delay.”"
3231,"All possible hurry was made; still, it was after three o’clock before the village was reached.  The travellers scampered through it, Hendon’s tongue going all the time.  ""Here is the church—covered with the same ivy—none gone, none added.”  ""Yonder is the inn, the old Red Lion,—and yonder is the market-place.”  ""Here is the Maypole, and here the pump—nothing is altered; nothing but the people, at any rate; ten years make a change in people; some of these I seem to know, but none know me.”  So his chat ran on. The end of the village was soon reached; then the travellers struck into a crooked, narrow road, walled in with tall hedges, and hurried briskly along it for half a mile, then passed into a vast flower garden through an imposing gateway, whose huge stone pillars bore sculptured armorial devices.  A noble mansion was before them."
3232,"“Welcome to Hendon Hall, my King!” exclaimed Miles.  ""Ah, ’tis a great day!  My father and my brother, and the Lady Edith will be so mad with joy that they will have eyes and tongue for none but me in the first transports of the meeting, and so thou’lt seem but coldly welcomed—but mind it not; ’twill soon seem otherwise; for when I say thou art my ward, and tell them how costly is my love for thee, thou’lt see them take thee to their breasts for Miles Hendon’s sake, and make their house and hearts thy home for ever after!”"
3233,"The next moment Hendon sprang to the ground before the great door, helped the King down, then took him by the hand and rushed within. A few steps brought him to a spacious apartment; he entered, seated the King with more hurry than ceremony, then ran toward a young man who sat at a writing-table in front of a generous fire of logs."
3234,"“Embrace me, Hugh,” he cried, “and say thou’rt glad I am come again! and call our father, for home is not home till I shall touch his hand, and see his face, and hear his voice once more!”"
3235,"But Hugh only drew back, after betraying a momentary surprise, and bent a grave stare upon the intruder—a stare which indicated somewhat of offended dignity, at first, then changed, in response to some inward thought or purpose, to an expression of marvelling curiosity, mixed with a real or assumed compassion.  Presently he said, in a mild voice—"
3236,"“Thy wits seem touched, poor stranger; doubtless thou hast suffered privations and rude buffetings at the world’s hands; thy looks and dress betoken it.  Whom dost thou take me to be?”"
3237,"“Take thee?  Prithee for whom else than whom thou art?  I take thee to be Hugh Hendon,” said Miles, sharply."
3238,"The other continued, in the same soft tone—"
3239,“And whom dost thou imagine thyself to be?”
3240,“Imagination hath nought to do with it!  Dost thou pretend thou knowest me not for thy brother Miles Hendon?”
3241,"An expression of pleased surprise flitted across Hugh’s face, and he exclaimed—"
3242,"“What! thou art not jesting? can the dead come to life?  God be praised if it be so!  Our poor lost boy restored to our arms after all these cruel years!  Ah, it seems too good to be true, it is too good to be true—I charge thee, have pity, do not trifle with me!  Quick—come to the light—let me scan thee well!”"
3243,"He seized Miles by the arm, dragged him to the window, and began to devour him from head to foot with his eyes, turning him this way and that, and stepping briskly around him and about him to prove him from all points of view; whilst the returned prodigal, all aglow with gladness, smiled, laughed, and kept nodding his head and saying—"
3244,"“Go on, brother, go on, and fear not; thou’lt find nor limb nor feature that cannot bide the test.  Scour and scan me to thy content, my good old Hugh—I am indeed thy old Miles, thy same old Miles, thy lost brother, is’t not so?  Ah, ’tis a great day—I said ’twas a great day!  Give me thy hand, give me thy cheek—lord, I am like to die of very joy!”"
3245,"He was about to throw himself upon his brother; but Hugh put up his hand in dissent, then dropped his chin mournfully upon his breast, saying with emotion—"
3246,"“Ah, God of his mercy give me strength to bear this grievous disappointment!”"
3247,"Miles, amazed, could not speak for a moment; then he found his tongue, and cried out—"
3248,“What disappointment?  Am I not thy brother?”
3249,"Hugh shook his head sadly, and said—"
3250,"“I pray heaven it may prove so, and that other eyes may find the resemblances that are hid from mine.  Alack, I fear me the letter spoke but too truly.”"
3251,“What letter?”
3252,"“One that came from over sea, some six or seven years ago.  It said my brother died in battle.”"
3253,“It was a lie!  Call thy father—he will know me.”
3254,“One may not call the dead.”
3255,"“Dead?” Miles’s voice was subdued, and his lips trembled.  ""My father dead!—oh, this is heavy news.  Half my new joy is withered now.  Prithee let me see my brother Arthur—he will know me; he will know me and console me.”"
3256,"“He, also, is dead.”"
3257,"“God be merciful to me, a stricken man!  Gone,—both gone—the worthy taken and the worthless spared, in me!  Ah! I crave your mercy!—do not say the Lady Edith—”"
3258,"“Is dead?  No, she lives.”"
3259,"“Then, God be praised, my joy is whole again!  Speed thee, brother—let her come to me!  An’ she say I am not myself—but she will not; no, no, she will know me, I were a fool to doubt it. Bring her—bring the old servants; they, too, will know me.”"
3260,"“All are gone but five—Peter, Halsey, David, Bernard, and Margaret.”"
3261,"So saying, Hugh left the room.  Miles stood musing a while, then began to walk the floor, muttering—"
3262,“The five arch-villains have survived the two-and-twenty leal and honest—’tis an odd thing.”
3263,"He continued walking back and forth, muttering to himself; he had forgotten the King entirely.  By-and-by his Majesty said gravely, and with a touch of genuine compassion, though the words themselves were capable of being interpreted ironically—"
3264,"“Mind not thy mischance, good man; there be others in the world whose identity is denied, and whose claims are derided.  Thou hast company.”"
3265,"“Ah, my King,” cried Hendon, colouring slightly, “do not thou condemn me—wait, and thou shalt see.  I am no impostor—she will say it; you shall hear it from the sweetest lips in England.  I an impostor?  Why, I know this old hall, these pictures of my ancestors, and all these things that are about us, as a child knoweth its own nursery.  Here was I born and bred, my lord; I speak the truth; I would not deceive thee; and should none else believe, I pray thee do not thou doubt me—I could not bear it.”"
3266,"“I do not doubt thee,” said the King, with a childlike simplicity and faith."
3267,"“I thank thee out of my heart!” exclaimed Hendon with a fervency which showed that he was touched.  The King added, with the same gentle simplicity—"
3268,“Dost thou doubt me?”
3269,"A guilty confusion seized upon Hendon, and he was grateful that the door opened to admit Hugh, at that moment, and saved him the necessity of replying."
3270,"A beautiful lady, richly clothed, followed Hugh, and after her came several liveried servants.  The lady walked slowly, with her head bowed and her eyes fixed upon the floor.  The face was unspeakably sad.  Miles Hendon sprang forward, crying out—"
3271,"“Oh, my Edith, my darling—”"
3272,"But Hugh waved him back, gravely, and said to the lady—"
3273,“Look upon him.  Do you know him?”
3274,"At the sound of Miles’s voice the woman had started slightly, and her cheeks had flushed; she was trembling now.  She stood still, during an impressive pause of several moments; then slowly lifted up her head and looked into Hendon’s eyes with a stony and frightened gaze; the blood sank out of her face, drop by drop, till nothing remained but the grey pallor of death; then she said, in a voice as dead as the face, “I know him not!” and turned, with a moan and a stifled sob, and tottered out of the room."
3275,"Miles Hendon sank into a chair and covered his face with his hands. After a pause, his brother said to the servants—"
3276,“You have observed him.  Do you know him?”
3277,They shook their heads; then the master said—
3278,"“The servants know you not, sir.  I fear there is some mistake. You have seen that my wife knew you not.”"
3279,"“Thy wife!”  In an instant Hugh was pinned to the wall, with an iron grip about his throat.  ""Oh, thou fox-hearted slave, I see it all!  Thou’st writ the lying letter thyself, and my stolen bride and goods are its fruit.  There—now get thee gone, lest I shame mine honourable soldiership with the slaying of so pitiful a mannikin!”"
3280,"Hugh, red-faced, and almost suffocated, reeled to the nearest chair, and commanded the servants to seize and bind the murderous stranger.  They hesitated, and one of them said—"
3281,"“He is armed, Sir Hugh, and we are weaponless.”"
3282,"“Armed!  What of it, and ye so many?  Upon him, I say!”"
3283,"But Miles warned them to be careful what they did, and added—"
3284,"“Ye know me of old—I have not changed; come on, an’ it like you.”"
3285,This reminder did not hearten the servants much; they still held back.
3286,"“Then go, ye paltry cowards, and arm yourselves and guard the doors, whilst I send one to fetch the watch!” said Hugh.  He turned at the threshold, and said to Miles, “You’ll find it to your advantage to offend not with useless endeavours at escape.”"
3287,"“Escape?  Spare thyself discomfort, an’ that is all that troubles thee. For Miles Hendon is master of Hendon Hall and all its belongings.  He will remain—doubt it not.”"
3288,"The King sat musing a few moments, then looked up and said—"
3289,“’Tis strange—most strange.  I cannot account for it.”
3290,"“No, it is not strange, my liege.  I know him, and this conduct is but natural.  He was a rascal from his birth.”"
3291,"“Oh, I spake not of him, Sir Miles.”"
3292,“Not of him?  Then of what?  What is it that is strange?”
3293,“That the King is not missed.”
3294,“How?  Which?  I doubt I do not understand.”
3295,“Indeed?  Doth it not strike you as being passing strange that the land is not filled with couriers and proclamations describing my person and making search for me?  Is it no matter for commotion and distress that the Head of the State is gone; that I am vanished away and lost?”
3296,"“Most true, my King, I had forgot.”  Then Hendon sighed, and muttered to himself, “Poor ruined mind—still busy with its pathetic dream.”"
3297,"“But I have a plan that shall right us both—I will write a paper, in three tongues—Latin, Greek and English—and thou shalt haste away with it to London in the morning.  Give it to none but my uncle, the Lord Hertford; when he shall see it, he will know and say I wrote it.  Then he will send for me.”"
3298,"“Might it not be best, my Prince, that we wait here until I prove myself and make my rights secure to my domains?  I should be so much the better able then to—”"
3299,The King interrupted him imperiously—
3300,"“Peace!  What are thy paltry domains, thy trivial interests, contrasted with matters which concern the weal of a nation and the integrity of a throne?”  Then, he added, in a gentle voice, as if he were sorry for his severity, “Obey, and have no fear; I will right thee, I will make thee whole—yes, more than whole.  I shall remember, and requite.”"
3301,"So saying, he took the pen, and set himself to work.  Hendon contemplated him lovingly a while, then said to himself—"
3302,"“An’ it were dark, I should think it was a king that spoke; there’s no denying it, when the humour’s upon on him he doth thunder and lighten like your true King; now where got he that trick?  See him scribble and scratch away contentedly at his meaningless pot-hooks, fancying them to be Latin and Greek—and except my wit shall serve me with a lucky device for diverting him from his purpose, I shall be forced to pretend to post away to-morrow on this wild errand he hath invented for me.”"
3303,"The next moment Sir Miles’s thoughts had gone back to the recent episode. So absorbed was he in his musings, that when the King presently handed him the paper which he had been writing, he received it and pocketed it without being conscious of the act. “How marvellous strange she acted,” he muttered.  ""I think she knew me—and I think she did not know me. These opinions do conflict, I perceive it plainly; I cannot reconcile them, neither can I, by argument, dismiss either of the two, or even persuade one to outweigh the other.  The matter standeth simply thus: she must have known my face, my figure, my voice, for how could it be otherwise?  Yet she saidshe knew me not, and that is proof perfect, for she cannot lie.  But stop—I think I begin to see. Peradventure he hath influenced her, commanded her, compelled her to lie.  That is the solution.  The riddle is unriddled.  She seemed dead with fear—yes, she was under his compulsion.  I will seek her; I will find her; now that he is away, she will speak her true mind.  She will remember the old times when we were little playfellows together, and this will soften her heart, and she will no more betray me, but will confess me.  There is no treacherous blood in her—no, she was always honest and true.  She has loved me, in those old days—this is my security; for whom one has loved, one cannot betray.”"
3304,"He stepped eagerly toward the door; at that moment it opened, and the Lady Edith entered.  She was very pale, but she walked with a firm step, and her carriage was full of grace and gentle dignity. Her face was as sad as before."
3305,"Miles sprang forward, with a happy confidence, to meet her, but she checked him with a hardly perceptible gesture, and he stopped where he was.  She seated herself, and asked him to do likewise. Thus simply did she take the sense of old comradeship out of him, and transform him into a stranger and a guest.  The surprise of it, the bewildering unexpectedness of it, made him begin to question, for a moment, if he was the person he was pretending to be, after all.  The Lady Edith said—"
3306,"“Sir, I have come to warn you.  The mad cannot be persuaded out of their delusions, perchance; but doubtless they may be persuaded to avoid perils.  I think this dream of yours hath the seeming of honest truth to you, and therefore is not criminal—but do not tarry here with it; for here it is dangerous.”  She looked steadily into Miles’s face a moment, then added, impressively, “It is the more dangerous for that you are much like what our lost lad must have grown to be if he had lived.”"
3307,"“Heavens, madam, but I am he!”"
3308,"“I truly think you think it, sir.  I question not your honesty in that; I but warn you, that is all.  My husband is master in this region; his power hath hardly any limit; the people prosper or starve, as he wills. If you resembled not the man whom you profess to be, my husband might bid you pleasure yourself with your dream in peace; but trust me, I know him well; I know what he will do; he will say to all that you are but a mad impostor, and straightway all will echo him.”  She bent upon Miles that same steady look once more, and added:  ""If you were Miles Hendon, and he knew it and all the region knew it—consider what I am saying, weigh it well—you would stand in the same peril, your punishment would be no less sure; he would deny you and denounce you, and none would be bold enough to give you countenance.”"
3309,"“Most truly I believe it,” said Miles, bitterly.  ""The power that can command one life-long friend to betray and disown another, and be obeyed, may well look to be obeyed in quarters where bread and life are on the stake and no cobweb ties of loyalty and honour are concerned.”"
3310,"A faint tinge appeared for a moment in the lady’s cheek, and she dropped her eyes to the floor; but her voice betrayed no emotion when she proceeded—"
3311,"“I have warned you—I must still warn you—to go hence.  This man will destroy you, else.  He is a tyrant who knows no pity.  I, who am his fettered slave, know this.  Poor Miles, and Arthur, and my dear guardian, Sir Richard, are free of him, and at rest:  better that you were with them than that you bide here in the clutches of this miscreant.  Your pretensions are a menace to his title and possessions; you have assaulted him in his own house:  you are ruined if you stay.  Go—do not hesitate. If you lack money, take this purse, I beg of you, and bribe the servants to let you pass. Oh, be warned, poor soul, and escape while you may.”"
3312,"Miles declined the purse with a gesture, and rose up and stood before her."
3313,"“Grant me one thing,” he said.  ""Let your eyes rest upon mine, so that I may see if they be steady.  There—now answer me.  Am I Miles Hendon?”"
3314,“No.  I know you not.”
3315,“Swear it!”
3316,"The answer was low, but distinct—"
3317,“I swear.”
3318,"“Oh, this passes belief!”"
3319,"“Fly!  Why will you waste the precious time?  Fly, and save yourself.”"
3320,"At that moment the officers burst into the room, and a violent struggle began; but Hendon was soon overpowered and dragged away. The King was taken also, and both were bound and led to prison."
3321,"The cells were all crowded; so the two friends were chained in a large room where persons charged with trifling offences were commonly kept. They had company, for there were some twenty manacled and fettered prisoners here, of both sexes and of varying ages,—an obscene and noisy gang.  The King chafed bitterly over the stupendous indignity thus put upon his royalty, but Hendon was moody and taciturn.  He was pretty thoroughly bewildered; he had come home, a jubilant prodigal, expecting to find everybody wild with joy over his return; and instead had got the cold shoulder and a jail.  The promise and the fulfilment differed so widely that the effect was stunning; he could not decide whether it was most tragic or most grotesque.  He felt much as a man might who had danced blithely out to enjoy a rainbow, and got struck by lightning."
3322,"But gradually his confused and tormenting thoughts settled down into some sort of order, and then his mind centred itself upon Edith.  He turned her conduct over, and examined it in all lights, but he could not make anything satisfactory out of it.  Did she know him—or didn’t she know him?  It was a perplexing puzzle, and occupied him a long time; but he ended, finally, with the conviction that she did know him, and had repudiated him for interested reasons.  He wanted to load her name with curses now; but this name had so long been sacred to him that he found he could not bring his tongue to profane it."
3323,"Wrapped in prison blankets of a soiled and tattered condition, Hendon and the King passed a troubled night.  For a bribe the jailer had furnished liquor to some of the prisoners; singing of ribald songs, fighting, shouting, and carousing was the natural consequence.  At last, a while after midnight, a man attacked a woman and nearly killed her by beating her over the head with his manacles before the jailer could come to the rescue.  The jailer restored peace by giving the man a sound clubbing about the head and shoulders—then the carousing ceased; and after that, all had an opportunity to sleep who did not mind the annoyance of the moanings and groanings of the two wounded people."
3324,"During the ensuing week, the days and nights were of a monotonous sameness as to events; men whose faces Hendon remembered more or less distinctly, came, by day, to gaze at the ‘impostor’ and repudiate and insult him; and by night the carousing and brawling went on with symmetrical regularity.  However, there was a change of incident at last. The jailer brought in an old man, and said to him—"
3325,“The villain is in this room—cast thy old eyes about and see if thou canst say which is he.”
3326,"Hendon glanced up, and experienced a pleasant sensation for the first time since he had been in the jail.  He said to himself, “This is Blake Andrews, a servant all his life in my father’s family—a good honest soul, with a right heart in his breast. That is, formerly.  But none are true now; all are liars.  This man will know me—and will deny me, too, like the rest.”"
3327,"The old man gazed around the room, glanced at each face in turn, and finally said—"
3328,"“I see none here but paltry knaves, scum o’ the streets.  Which is he?”"
3329,The jailer laughed.
3330,"“Here,” he said; “scan this big animal, and grant me an opinion.”"
3331,"The old man approached, and looked Hendon over, long and earnestly, then shook his head and said—"
3332,"“Marry, this is no Hendon—nor ever was!”"
3333,"“Right!  Thy old eyes are sound yet.  An’ I were Sir Hugh, I would take the shabby carle and—”"
3334,"The jailer finished by lifting himself a-tip-toe with an imaginary halter, at the same time making a gurgling noise in his throat suggestive of suffocation.  The old man said, vindictively—"
3335,"“Let him bless God an’ he fare no worse.  An’ I had the handling o’ the villain he should roast, or I am no true man!”"
3336,"The jailer laughed a pleasant hyena laugh, and said—"
3337,"“Give him a piece of thy mind, old man—they all do it.  Thou’lt find it good diversion.”"
3338,Then he sauntered toward his ante-room and disappeared.  The old man dropped upon his knees and whispered—
3339,"“God be thanked, thou’rt come again, my master!  I believed thou wert dead these seven years, and lo, here thou art alive!  I knew thee the moment I saw thee; and main hard work it was to keep a stony countenance and seem to see none here but tuppenny knaves and rubbish o’ the streets. I am old and poor, Sir Miles; but say the word and I will go forth and proclaim the truth though I be strangled for it.”"
3340,"“No,” said Hendon; “thou shalt not.  It would ruin thee, and yet help but little in my cause.  But I thank thee, for thou hast given me back somewhat of my lost faith in my kind.”"
